"","B_01_MS4A1","B_02_MS4A1_CD83","B_03_MZB1","B_04_STMN1","CD4T_01_CCR7","CD4T_02_SELL","CD4T_03_GPR183","CD4T_04_BAG3","CD4T_05_CD69","CD4T_06_PLCG2","CD4T_07_CXCL13","CD4T_08_STMN1","CD4T_09_FOXP3","CD4T_10_FOXP3_CTLA4","CD4T_11_FOXP3_STMN1","CD8T_01_CCR7","CD8T_02_CX3CR1","CD8T_03_GZMK_S1PR1","CD8T_04_GNLY","CD8T_05_KLRD1","CD8T_06_CD69","CD8T_07_PLCG2","CD8T_08_GZMK","CD8T_09_PDCD1_IFNG","CD8T_10_PDCD1","CD8T_11_SLC4A10","CD8T_12_IFIT3","CD8T_13_STMN1","DC_01_CLEC9A","DC_02_CD1C","DC_03_LAMP3","DC_04_CD207","DC_05_LILRA4","DC_06_STMN1","EC_01_CLEC4A","EC_02_CLEC4A_APOA2","EC_03_TFF3","EC_04_ACKR1","EC_05_KDR","EC_06_KDR_ESM1","EC_07_KDR_APOA2","EC_08_IGFBP3","EC_09_PLCG2","EC_10_STMN1","Fb_01_FAP","Fb_02_CXCL12","Fb_03_KLF4","Fb_04_FABP4","gdT_01_GNLY_S1PR5","gdT_02_GNLY","gdT_03_KLRD1","gdT_04_STMN1","Mast","Mo_01_CD14","Mo_02_CD16","Mono-like_01_CD14","Mono-like_02_CD16","Mono-like_03_CD14CD16","MonoDC","Mph_01_MARCO","Mph_02_CCL20","Mph_03_SPP1","Mph_04_TREM2","Mph_05_IL1B","Mph_06_CXCL9","Mph_07_SLC40A1","Mph_08_APOE","Mph_09_STMN1","Mu_01_MYH11","Mu_02_ABCC9","Mu_03_STMN1","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4","NK_01_FCGR3A_CX3CR1","NK_02_FCGR3A_CXCR4","NK_03_FCGR3A_IFNG","NK_04_PLCG2","NK_05_CD160","NK_06_ITGA1","NK_07_STMN1"
"A002_ICC",27,172,19,1,1,11,1201,32,116,365,24,58,1,349,21,3,2,0,57,8,2292,211,7,4,55,566,334,84,11,109,1,6,7,10,40,0,14,96,39,0,0,64,1,4,74,20,169,0,0,25,35,6,20,6,0,50,4,69,0,14,45,41,483,24,38,147,50,78,108,45,4,0,0,0,0,1,0,0,1,5,22,0,1,201,22,49,176,117,33
"A003_ICC",4,95,14,3,1,37,184,190,93,52,24,28,0,218,10,0,0,0,70,5,199,19,0,7,14,303,41,18,9,13,1,2,2,0,0,0,10,91,30,0,0,29,0,13,1616,8,5,0,0,5,1,0,31,1,0,47,5,6,1,0,285,157,256,24,3,23,77,12,13,192,58,1,0,0,0,7,16,0,7,20,82,29,1,33,143,6,17,21,12
"A004_ICC",15,96,12,1,0,139,902,134,322,21,3,9,0,113,3,0,0,0,52,18,1876,3,1,1,2,133,48,19,17,43,0,0,2,5,16,0,6,230,56,0,0,75,0,16,241,47,234,0,0,0,5,0,21,0,0,38,3,45,0,13,135,50,196,58,0,53,86,21,112,342,18,0,0,0,0,7,2,1,0,1,9,0,0,10,4,2,11,3,3
"A005_ICC",0,8,7,0,0,10,135,2,37,8,4,7,0,76,5,0,0,0,4,8,104,4,1,0,17,7,6,11,0,4,1,16,1,4,0,0,7,12,8,0,0,38,0,3,93,1,0,0,0,294,2,26,6,0,0,1,1,5,0,0,37,336,1066,23,3,17,168,155,6,24,6,0,0,0,0,2,0,1,3,20,110,9,0,21,0,2,19,193,25
"A006_ICC",1,60,1,0,0,34,20,86,10,4,0,0,0,7,0,0,0,0,9,0,49,2,0,0,2,9,34,1,1,0,1,0,0,0,0,0,2,36,79,0,0,22,0,0,17,4,38,0,0,0,1,1,5,0,0,1,0,2,1,0,2,5,16,1,0,1,3,3,83,17,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,5,5,0
"A007_ASC",8,124,44,3,0,24,46,1519,47,10,63,5,0,813,19,0,0,0,71,21,507,6,0,27,73,134,8,29,13,89,6,49,1,16,0,0,2,16,21,0,0,49,0,5,1280,3,4,0,0,78,4,9,115,0,0,18,7,38,0,6,197,74,1066,10,5,52,67,75,93,202,21,0,0,0,0,1,0,0,1,0,2,1,0,6,11,1,21,101,13
"A008_ICC",4,99,15,2,0,19,2120,63,454,94,21,7,0,234,6,0,0,1,213,37,1038,18,0,0,3,279,16,8,15,111,3,1,7,5,24,0,9,31,32,6,0,222,0,20,141,54,3,0,0,1,17,3,19,0,0,32,0,99,2,32,325,257,823,53,5,37,69,28,53,153,31,0,3,0,2,43,245,1,22,9,110,43,0,104,39,1,29,13,2
"A009_ICC",2,79,14,0,0,2,22,38,7,13,11,8,0,45,9,0,0,0,0,0,24,5,0,3,5,5,3156,23,3,48,5,2,4,4,0,0,22,76,73,0,0,13,0,6,42,5,6,0,0,2,0,0,20,0,0,12,0,10,0,0,123,5,124,9,40,16,65,3,96,73,2,0,0,0,0,1,3,0,0,142,70,4,0,1,3,0,8,8,6
"A010_ICC",1,61,25,1,1,0,216,7,38,12,10,18,1,199,12,0,0,0,47,2,147,6,0,8,123,46,12,36,15,25,6,12,9,6,0,0,0,6,15,0,0,37,0,0,19,0,0,0,2,3,10,4,51,0,0,9,0,23,0,3,30,11,145,8,36,92,97,48,3,109,0,0,0,0,0,4,15,1,8,29,99,28,0,17,7,1,14,28,5
"A011_HCC",0,8,18,0,0,0,135,2,243,12,54,26,0,320,11,0,0,0,33,1,40,42,3960,2,41,14,0,308,61,77,13,0,4,12,12,3,0,17,462,49,31,69,0,24,4,49,0,0,0,0,0,1,2,0,0,8,7,330,0,10,7,0,2,42,67,2976,88,23,180,50,1,0,0,0,0,3,0,15,0,0,0,0,0,33,0,6,196,0,12
